text,doc_type,label,amount
"PAY AS YOU EARN DECLARATION
Rwanda Revenue Authority
Employer: Rebero Holdings
TIN: 925276600
Month: 2022
Total Employees: 5
Gross Salaries: 910813 RWF
PAYE Withheld: 273244 RWF
Declaration filed in compliance with Income Tax Law",paye_declaration,declaration,910813.0
"CORPORATE INCOME TAX RETURN
Rwanda Revenue Authority
Company: Ubumwe Investments
TIN: 771410971
Financial Year: 2022-11
Taxable Income: 1158917 RWF
CIT at 30%: 347675 RWF
Advance Tax Paid: 115892 RWF
Balance Due: 231783 RWF",cit_filing,filing,1158917.0
"TAX AUDIT REPORT
Rwanda Revenue Authority – Audit Division
Taxpayer: Ubumwe Investments
TIN: 489747629
Audit Period: 2022
Scope: VAT, PAYE, CIT
Findings: No irregularities found
Recommended Action: Refer for further investigation",audit_report,filing,10569065.0
"PAY AS YOU EARN DECLARATION
Rwanda Revenue Authority
Employer: Amahoro Construction
TIN: 237859287
Month: 2023
Total Employees: 160
Gross Salaries: 3800427 RWF
PAYE Withheld: 1140128 RWF
Declaration filed in compliance with Income Tax Law",paye_declaration,declaration,3800427.0
"TAX CLEARANCE CERTIFICATE
Rwanda Revenue Authority
This is to certify that Eric Mukamana (TIN: 570406376) has no outstanding tax obligations as of 2024. All taxes including VAT, PAYE, and CIT have been paid in full. Certificate valid for 3 months from date of issue.",tax_clearance,certificate,1322509.0
"WITHHOLDING TAX DECLARATION
Rwanda Revenue Authority
Withholder: Solange Habimana
TIN: 345824373
Period: 2020-01
Nature of Payment: Services
Gross Amount: 417465 RWF
WHT Rate: 15%
Tax Withheld: 62620 RWF",withholding_tax,declaration,417465.0
"NOTICE OF PENALTY
Rwanda Revenue Authority
To: Diane Niyomugabo
TIN: 607526654
Period: 2021-08
This notice informs you of a penalty of 110614 RWF for late filing of tax returns. Payment must be made within 30 days to avoid further interest charges under the Tax Procedures Law.",penalty_notice,correspondence,1106136.0
"FINANCIAL STATEMENTS
Rwanda Fresh Ltd
TIN: 823019672
Year Ended: 2020-01
Total Revenue: 2122297 RWF
Total Expenses: 1485608 RWF
Net Profit Before Tax: 636689 RWF
Prepared in accordance with IFRS as adopted in Rwanda",financial_statement,filing,2122297.0
"Rwanda Revenue Authority
P.O. Box 3987, Kigali

Dear Pierre Bizimana,
RE: Your TIN 596743109 – Request for information
We write with reference to your account for the period 2021-02. Please respond within 15 working days.
Yours faithfully,
Commissioner General, RRA",correspondence,correspondence,9928980.0
"WITHHOLDING TAX DECLARATION
Rwanda Revenue Authority
Withholder: Yvonne Umubyeyi
TIN: 329509408
Period: 2023
Nature of Payment: Services
Gross Amount: 60789 RWF
WHT Rate: 15%
Tax Withheld: 9118 RWF",withholding_tax,declaration,60789.0
"NOTICE OF PENALTY
Rwanda Revenue Authority
To: Masaka Textiles
TIN: 266211829
Period: 2021
This notice informs you of a penalty of 35132 RWF for late filing of tax returns. Payment must be made within 30 days to avoid further interest charges under the Tax Procedures Law.",penalty_notice,correspondence,351316.0
"VALUE ADDED TAX RETURN
Rwanda Revenue Authority
Taxpayer: Ruliba Ceramics
TIN: 670292350
Tax Period: 2021-01
Output VAT: 551667 RWF
Input VAT: 140254 RWF
Net VAT Payable: 411412 RWF
Filing Date: 2026-05-08
Signature of authorized person",vat_return,filing,467514.0
"WITHHOLDING TAX DECLARATION
Rwanda Revenue Authority
Withholder: Umucyo Pharmacy
TIN: 721609600
Period: 2024-01
Nature of Payment: Services
Gross Amount: 2766959 RWF
WHT Rate: 15%
Tax Withheld: 415044 RWF",withholding_tax,declaration,2766959.0
"WITHHOLDING TAX DECLARATION
Rwanda Revenue Authority
Withholder: Bugesera Dairy
TIN: 356287095
Period: 2022
Nature of Payment: Services
Gross Amount: 5235246 RWF
WHT Rate: 15%
Tax Withheld: 785287 RWF",withholding_tax,declaration,5235246.0
"APPLICATION FOR TAX REFUND
Rwanda Revenue Authority
Taxpayer: Ubumwe Investments
TIN: 178663096
Period: 2024-04
Overpaid Amount: 760449 RWF
Reason: Excess VAT input credits
Bank Account: 398830
Bank: Bank of Kigali",refund_request,declaration,760449.0
"CORPORATE INCOME TAX RETURN
Rwanda Revenue Authority
Company: Gahanga Agro
TIN: 756783995
Financial Year: 2024-01
Taxable Income: 4093938 RWF
CIT at 30%: 1228181 RWF
Advance Tax Paid: 409394 RWF
Balance Due: 818788 RWF",cit_filing,filing,4093938.0
"PAY AS YOU EARN DECLARATION
Rwanda Revenue Authority
Employer: Amahoro Construction
TIN: 392431670
Month: 2022
Total Employees: 180
Gross Salaries: 2149445 RWF
PAYE Withheld: 644834 RWF
Declaration filed in compliance with Income Tax Law",paye_declaration,declaration,2149445.0
"VALUE ADDED TAX RETURN
Rwanda Revenue Authority
Taxpayer: Emmanuel Bizimana
TIN: 147337803
Tax Period: 2020-06
Output VAT: 6039622 RWF
Input VAT: 1535497 RWF
Net VAT Payable: 4504125 RWF
Filing Date: 2026-05-08
Signature of authorized person",vat_return,filing,5118324.0
"FINANCIAL STATEMENTS
Ubumwe Investments
TIN: 180792472
Year Ended: 2021
Total Revenue: 2353959 RWF
Total Expenses: 1647771 RWF
Net Profit Before Tax: 706188 RWF
Prepared in accordance with IFRS as adopted in Rwanda",financial_statement,filing,2353959.0
"TAX CLEARANCE CERTIFICATE
Rwanda Revenue Authority
This is to certify that Michel Habimana (TIN: 484194737) has no outstanding tax obligations as of 2021. All taxes including VAT, PAYE, and CIT have been paid in full. Certificate valid for 3 months from date of issue.",tax_clearance,certificate,592347.0
"CORPORATE INCOME TAX RETURN
Rwanda Revenue Authority
Company: Inyange Industries
TIN: 542697755
Financial Year: 2020-03
Taxable Income: 2068724 RWF
CIT at 30%: 620617 RWF
Advance Tax Paid: 206872 RWF
Balance Due: 413745 RWF",cit_filing,filing,2068724.0
"CORPORATE INCOME TAX RETURN
Rwanda Revenue Authority
Company: Ubumwe Investments
TIN: 510751046
Financial Year: 2020
Taxable Income: 8530063 RWF
CIT at 30%: 2559019 RWF
Advance Tax Paid: 853006 RWF
Balance Due: 1706013 RWF",cit_filing,filing,8530063.0
"VALUE ADDED TAX RETURN
Rwanda Revenue Authority
Taxpayer: Remera Electronics
TIN: 452468587
Tax Period: 2022-02
Output VAT: 1990009 RWF
Input VAT: 505934 RWF
Net VAT Payable: 1484074 RWF
Filing Date: 2026-05-08
Signature of authorized person",vat_return,filing,1686448.0
"PAY AS YOU EARN DECLARATION
Rwanda Revenue Authority
Employer: Rebero Holdings
TIN: 291735734
Month: 2024
Total Employees: 93
Gross Salaries: 4588777 RWF
PAYE Withheld: 1376633 RWF
Declaration filed in compliance with Income Tax Law",paye_declaration,declaration,4588777.0
"NOTICE OF PENALTY
Rwanda Revenue Authority
To: Diane Kamanzi
TIN: 373506211
Period: 2020-12
This notice informs you of a penalty of 371902 RWF for late filing of tax returns. Payment must be made within 30 days to avoid further interest charges under the Tax Procedures Law.",penalty_notice,correspondence,3719016.0
"FINANCIAL STATEMENTS
Eric Mukamana
TIN: 769108025
Year Ended: 2022-11
Total Revenue: 6410442 RWF
Total Expenses: 4487309 RWF
Net Profit Before Tax: 1923133 RWF
Prepared in accordance with IFRS as adopted in Rwanda",financial_statement,filing,6410442.0
"FINANCIAL STATEMENTS
Amahoro Construction
TIN: 305986733
Year Ended: 2023-11
Total Revenue: 5705439 RWF
Total Expenses: 3993807 RWF
Net Profit Before Tax: 1711632 RWF
Prepared in accordance with IFRS as adopted in Rwanda",financial_statement,filing,5705439.0
"NOTICE OF PENALTY
Rwanda Revenue Authority
To: Gahanga Agro
TIN: 408071259
Period: 2021-07
This notice informs you of a penalty of 471542 RWF for late filing of tax returns. Payment must be made within 30 days to avoid further interest charges under the Tax Procedures Law.",penalty_notice,correspondence,4715424.0
"WITHHOLDING TAX DECLARATION
Rwanda Revenue Authority
Withholder: Inyange Industries
TIN: 807435606
Period: 2020-05
Nature of Payment: Services
Gross Amount: 5061161 RWF
WHT Rate: 15%
Tax Withheld: 759174 RWF",withholding_tax,declaration,5061161.0
"WITHHOLDING TAX DECLARATION
Rwanda Revenue Authority
Withholder: Jean Kamanzi
TIN: 610173760
Period: 2024-02
Nature of Payment: Services
Gross Amount: 10913793 RWF
WHT Rate: 15%
Tax Withheld: 1637069 RWF",withholding_tax,declaration,10913793.0
"FINANCIAL STATEMENTS
Eric Habimana
TIN: 906341966
Year Ended: 2020
Total Revenue: 8201006 RWF
Total Expenses: 5740704 RWF
Net Profit Before Tax: 2460302 RWF
Prepared in accordance with IFRS as adopted in Rwanda",financial_statement,filing,8201006.0
"WITHHOLDING TAX DECLARATION
Rwanda Revenue Authority
Withholder: Ubumwe Investments
TIN: 590122159
Period: 2021-08
Nature of Payment: Services
Gross Amount: 22119632 RWF
WHT Rate: 15%
Tax Withheld: 3317945 RWF",withholding_tax,declaration,22119632.0
"NOTICE OF PENALTY
Rwanda Revenue Authority
To: Inyange Industries
TIN: 898493949
Period: 2023
This notice informs you of a penalty of 147004 RWF for late filing of tax returns. Payment must be made within 30 days to avoid further interest charges under the Tax Procedures Law.",penalty_notice,correspondence,1470042.0
"WITHHOLDING TAX DECLARATION
Rwanda Revenue Authority
Withholder: Marie Bizimana
TIN: 351785565
Period: 2022-06
Nature of Payment: Services
Gross Amount: 3934299 RWF
WHT Rate: 15%
Tax Withheld: 590145 RWF",withholding_tax,declaration,3934299.0
"CORPORATE INCOME TAX RETURN
Rwanda Revenue Authority
Company: Inzora Tech
TIN: 545461013
Financial Year: 2023-06
Taxable Income: 2737339 RWF
CIT at 30%: 821202 RWF
Advance Tax Paid: 273734 RWF
Balance Due: 547468 RWF",cit_filing,filing,2737339.0
"APPLICATION FOR TAX REFUND
Rwanda Revenue Authority
Taxpayer: Jean Mukamana
TIN: 420632895
Period: 2023-07
Overpaid Amount: 6683228 RWF
Reason: Excess VAT input credits
Bank Account: 386193
Bank: Bank of Kigali",refund_request,declaration,6683228.0
"FINANCIAL STATEMENTS
Remera Electronics
TIN: 460916347
Year Ended: 2023
Total Revenue: 3199831 RWF
Total Expenses: 2239882 RWF
Net Profit Before Tax: 959949 RWF
Prepared in accordance with IFRS as adopted in Rwanda",financial_statement,filing,3199831.0
"APPLICATION FOR TAX REFUND
Rwanda Revenue Authority
Taxpayer: Kigali Trading Co
TIN: 190137896
Period: 2023-03
Overpaid Amount: 1052809 RWF
Reason: Excess VAT input credits
Bank Account: 576786
Bank: Bank of Kigali",refund_request,declaration,1052809.0
"TAX AUDIT REPORT
Rwanda Revenue Authority – Audit Division
Taxpayer: Emmanuel Bizimana
TIN: 907464398
Audit Period: 2023-05
Scope: VAT, PAYE, CIT
Findings: Significant underpayment identified
Recommended Action: None",audit_report,filing,3227287.0
"PAY AS YOU EARN DECLARATION
Rwanda Revenue Authority
Employer: Rwanda Fresh Ltd
TIN: 909851739
Month: 2020
Total Employees: 44
Gross Salaries: 152953 RWF
PAYE Withheld: 45886 RWF
Declaration filed in compliance with Income Tax Law",paye_declaration,declaration,152953.0
"PAY AS YOU EARN DECLARATION
Rwanda Revenue Authority
Employer: Isange Distributors
TIN: 599326438
Month: 2022
Total Employees: 196
Gross Salaries: 4722878 RWF
PAYE Withheld: 1416863 RWF
Declaration filed in compliance with Income Tax Law",paye_declaration,declaration,4722878.0
"PAY AS YOU EARN DECLARATION
Rwanda Revenue Authority
Employer: Gahanga Agro
TIN: 718257024
Month: 2023-07
Total Employees: 156
Gross Salaries: 1155290 RWF
PAYE Withheld: 346587 RWF
Declaration filed in compliance with Income Tax Law",paye_declaration,declaration,1155290.0
"TAX CLEARANCE CERTIFICATE
Rwanda Revenue Authority
This is to certify that Ubumwe Investments (TIN: 954942461) has no outstanding tax obligations as of 2024-01. All taxes including VAT, PAYE, and CIT have been paid in full. Certificate valid for 3 months from date of issue.",tax_clearance,certificate,2846387.0
"FINANCIAL STATEMENTS
Ubumwe Investments
TIN: 565492204
Year Ended: 2022-11
Total Revenue: 3128518 RWF
Total Expenses: 2189963 RWF
Net Profit Before Tax: 938555 RWF
Prepared in accordance with IFRS as adopted in Rwanda",financial_statement,filing,3128518.0
"NOTICE OF PENALTY
Rwanda Revenue Authority
To: Kanombe Logistics
TIN: 567694547
Period: 2024-05
This notice informs you of a penalty of 145847 RWF for late filing of tax returns. Payment must be made within 30 days to avoid further interest charges under the Tax Procedures Law.",penalty_notice,correspondence,1458468.0
"Rwanda Revenue Authority
P.O. Box 3987, Kigali

Dear Remera Electronics,
RE: Your TIN 461203124 – Objection response
We write with reference to your account for the period 2020-08. Please respond within 15 working days.
Yours faithfully,
Commissioner General, RRA",correspondence,correspondence,1053486.0
"APPLICATION FOR TAX REFUND
Rwanda Revenue Authority
Taxpayer: Rebero Holdings
TIN: 696776072
Period: 2020-09
Overpaid Amount: 497507 RWF
Reason: Excess VAT input credits
Bank Account: 824156
Bank: Bank of Kigali",refund_request,declaration,497507.0
"Rwanda Revenue Authority
P.O. Box 3987, Kigali

Dear Masaka Textiles,
RE: Your TIN 581223755 – Objection response
We write with reference to your account for the period 2020. Please respond within 15 working days.
Yours faithfully,
Commissioner General, RRA",correspondence,correspondence,2640939.0
"NOTICE OF PENALTY
Rwanda Revenue Authority
To: Nyabugogo Transport
TIN: 900942073
Period: 2024-06
This notice informs you of a penalty of 307335 RWF for late filing of tax returns. Payment must be made within 30 days to avoid further interest charges under the Tax Procedures Law.",penalty_notice,correspondence,3073349.0
"WITHHOLDING TAX DECLARATION
Rwanda Revenue Authority
Withholder: Solange Hakizimana
TIN: 918394863
Period: 2021
Nature of Payment: Services
Gross Amount: 3360167 RWF
WHT Rate: 15%
Tax Withheld: 504025 RWF",withholding_tax,declaration,3360167.0
"WITHHOLDING TAX DECLARATION
Rwanda Revenue Authority
Withholder: Alice Uwimana
TIN: 424557359
Period: 2020-12
Nature of Payment: Services
Gross Amount: 1653171 RWF
WHT Rate: 15%
Tax Withheld: 247976 RWF",withholding_tax,declaration,1653171.0
"Rwanda Revenue Authority
P.O. Box 3987, Kigali

Dear Jean Niyomugabo,
RE: Your TIN 405307028 – Request for information
We write with reference to your account for the period 2023-08. Please respond within 15 working days.
Yours faithfully,
Commissioner General, RRA",correspondence,correspondence,1068933.0
"PAY AS YOU EARN DECLARATION
Rwanda Revenue Authority
Employer: Inzora Tech
TIN: 719571745
Month: 2020
Total Employees: 82
Gross Salaries: 4187275 RWF
PAYE Withheld: 1256182 RWF
Declaration filed in compliance with Income Tax Law",paye_declaration,declaration,4187275.0
"FINANCIAL STATEMENTS
Umucyo Pharmacy
TIN: 932894596
Year Ended: 2024-07
Total Revenue: 2973446 RWF
Total Expenses: 2081412 RWF
Net Profit Before Tax: 892034 RWF
Prepared in accordance with IFRS as adopted in Rwanda",financial_statement,filing,2973446.0
"PAY AS YOU EARN DECLARATION
Rwanda Revenue Authority
Employer: Isange Distributors
TIN: 771641650
Month: 2021-05
Total Employees: 49
Gross Salaries: 904280 RWF
PAYE Withheld: 271284 RWF
Declaration filed in compliance with Income Tax Law",paye_declaration,declaration,904280.0
"FINANCIAL STATEMENTS
Masaka Textiles
TIN: 412737284
Year Ended: 2020
Total Revenue: 1711434 RWF
Total Expenses: 1198004 RWF
Net Profit Before Tax: 513430 RWF
Prepared in accordance with IFRS as adopted in Rwanda",financial_statement,filing,1711434.0
"APPLICATION FOR TAX REFUND
Rwanda Revenue Authority
Taxpayer: Isange Distributors
TIN: 556489494
Period: 2020
Overpaid Amount: 856653 RWF
Reason: Excess VAT input credits
Bank Account: 273982
Bank: Bank of Kigali",refund_request,declaration,856653.0
"TAX CLEARANCE CERTIFICATE
Rwanda Revenue Authority
This is to certify that Gahanga Agro (TIN: 571537429) has no outstanding tax obligations as of 2020-08. All taxes including VAT, PAYE, and CIT have been paid in full. Certificate valid for 3 months from date of issue.",tax_clearance,certificate,6065427.0
"PAY AS YOU EARN DECLARATION
Rwanda Revenue Authority
Employer: Nyabugogo Transport
TIN: 888699799
Month: 2022
Total Employees: 177
Gross Salaries: 528849 RWF
PAYE Withheld: 158655 RWF
Declaration filed in compliance with Income Tax Law",paye_declaration,declaration,528849.0
"TAX CLEARANCE CERTIFICATE
Rwanda Revenue Authority
This is to certify that Inyange Industries (TIN: 605196410) has no outstanding tax obligations as of 2024-11. All taxes including VAT, PAYE, and CIT have been paid in full. Certificate valid for 3 months from date of issue.",tax_clearance,certificate,1679735.0
"Rwanda Revenue Authority
P.O. Box 3987, Kigali

Dear Alice Mukamana,
RE: Your TIN 819550381 – Request for information
We write with reference to your account for the period 2020-03. Please respond within 15 working days.
Yours faithfully,
Commissioner General, RRA",correspondence,correspondence,5965522.0
"PAY AS YOU EARN DECLARATION
Rwanda Revenue Authority
Employer: Alice Nkurunziza
TIN: 929517022
Month: 2023-09
Total Employees: 143
Gross Salaries: 55759 RWF
PAYE Withheld: 16728 RWF
Declaration filed in compliance with Income Tax Law",paye_declaration,declaration,55759.0
"NOTICE OF PENALTY
Rwanda Revenue Authority
To: Michel Umubyeyi
TIN: 771527524
Period: 2023
This notice informs you of a penalty of 403388 RWF for late filing of tax returns. Payment must be made within 30 days to avoid further interest charges under the Tax Procedures Law.",penalty_notice,correspondence,4033875.0
"VALUE ADDED TAX RETURN
Rwanda Revenue Authority
Taxpayer: Umucyo Pharmacy
TIN: 862123506
Tax Period: 2021-05
Output VAT: 4799788 RWF
Input VAT: 1220285 RWF
Net VAT Payable: 3579503 RWF
Filing Date: 2026-05-08
Signature of authorized person",vat_return,filing,4067617.0
"CORPORATE INCOME TAX RETURN
Rwanda Revenue Authority
Company: Gahanga Agro
TIN: 646397165
Financial Year: 2022-07
Taxable Income: 19671650 RWF
CIT at 30%: 5901495 RWF
Advance Tax Paid: 1967165 RWF
Balance Due: 3934330 RWF",cit_filing,filing,19671650.0
"WITHHOLDING TAX DECLARATION
Rwanda Revenue Authority
Withholder: Ruliba Ceramics
TIN: 901325519
Period: 2021
Nature of Payment: Services
Gross Amount: 7853386 RWF
WHT Rate: 15%
Tax Withheld: 1178008 RWF",withholding_tax,declaration,7853386.0
"VALUE ADDED TAX RETURN
Rwanda Revenue Authority
Taxpayer: Patrick Niyomugabo
TIN: 722687986
Tax Period: 2023-03
Output VAT: 3966631 RWF
Input VAT: 1008466 RWF
Net VAT Payable: 2958166 RWF
Filing Date: 2026-05-08
Signature of authorized person",vat_return,filing,3361552.0
"TAX AUDIT REPORT
Rwanda Revenue Authority – Audit Division
Taxpayer: Umucyo Pharmacy
TIN: 713963047
Audit Period: 2023-04
Scope: VAT, PAYE, CIT
Findings: Significant underpayment identified
Recommended Action: Issue penalty notice",audit_report,filing,2694737.0
"CORPORATE INCOME TAX RETURN
Rwanda Revenue Authority
Company: Rwanda Fresh Ltd
TIN: 235555899
Financial Year: 2024-10
Taxable Income: 578829 RWF
CIT at 30%: 173649 RWF
Advance Tax Paid: 57883 RWF
Balance Due: 115766 RWF",cit_filing,filing,578829.0
"CORPORATE INCOME TAX RETURN
Rwanda Revenue Authority
Company: Amahoro Construction
TIN: 180346223
Financial Year: 2023-05
Taxable Income: 5949729 RWF
CIT at 30%: 1784919 RWF
Advance Tax Paid: 594973 RWF
Balance Due: 1189946 RWF",cit_filing,filing,5949729.0
"Rwanda Revenue Authority
P.O. Box 3987, Kigali

Dear Rwanda Fresh Ltd,
RE: Your TIN 762992051 – Meeting invitation
We write with reference to your account for the period 2020-04. Please respond within 15 working days.
Yours faithfully,
Commissioner General, RRA",correspondence,correspondence,12737052.0
"PAY AS YOU EARN DECLARATION
Rwanda Revenue Authority
Employer: Gahanga Agro
TIN: 131081879
Month: 2020-06
Total Employees: 100
Gross Salaries: 1786225 RWF
PAYE Withheld: 535868 RWF
Declaration filed in compliance with Income Tax Law",paye_declaration,declaration,1786225.0
"FINANCIAL STATEMENTS
Inyange Industries
TIN: 282518553
Year Ended: 2021-02
Total Revenue: 2460740 RWF
Total Expenses: 1722518 RWF
Net Profit Before Tax: 738222 RWF
Prepared in accordance with IFRS as adopted in Rwanda",financial_statement,filing,2460740.0
"Rwanda Revenue Authority
P.O. Box 3987, Kigali

Dear Kanombe Logistics,
RE: Your TIN 374154962 – Objection response
We write with reference to your account for the period 2020-08. Please respond within 15 working days.
Yours faithfully,
Commissioner General, RRA",correspondence,correspondence,5709980.0
"TAX CLEARANCE CERTIFICATE
Rwanda Revenue Authority
This is to certify that Nyabugogo Transport (TIN: 841218491) has no outstanding tax obligations as of 2022-08. All taxes including VAT, PAYE, and CIT have been paid in full. Certificate valid for 3 months from date of issue.",tax_clearance,certificate,1160826.0
"APPLICATION FOR TAX REFUND
Rwanda Revenue Authority
Taxpayer: Patrick Bizimana
TIN: 123557463
Period: 2023
Overpaid Amount: 10064899 RWF
Reason: Excess VAT input credits
Bank Account: 973294
Bank: Bank of Kigali",refund_request,declaration,10064899.0
"TAX CLEARANCE CERTIFICATE
Rwanda Revenue Authority
This is to certify that Umucyo Pharmacy (TIN: 751831074) has no outstanding tax obligations as of 2022-04. All taxes including VAT, PAYE, and CIT have been paid in full. Certificate valid for 3 months from date of issue.",tax_clearance,certificate,4899660.0
"PAY AS YOU EARN DECLARATION
Rwanda Revenue Authority
Employer: Rwanda Fresh Ltd
TIN: 431714152
Month: 2023-01
Total Employees: 28
Gross Salaries: 6640558 RWF
PAYE Withheld: 1992167 RWF
Declaration filed in compliance with Income Tax Law",paye_declaration,declaration,6640558.0
"WITHHOLDING TAX DECLARATION
Rwanda Revenue Authority
Withholder: Innocent Mukamana
TIN: 669998399
Period: 2024-05
Nature of Payment: Services
Gross Amount: 1535095 RWF
WHT Rate: 15%
Tax Withheld: 230264 RWF",withholding_tax,declaration,1535095.0
"PAY AS YOU EARN DECLARATION
Rwanda Revenue Authority
Employer: Inzora Tech
TIN: 251136695
Month: 2021-11
Total Employees: 147
Gross Salaries: 19595697 RWF
PAYE Withheld: 5878709 RWF
Declaration filed in compliance with Income Tax Law",paye_declaration,declaration,19595697.0
"TAX CLEARANCE CERTIFICATE
Rwanda Revenue Authority
This is to certify that Kanombe Logistics (TIN: 495765839) has no outstanding tax obligations as of 2022-10. All taxes including VAT, PAYE, and CIT have been paid in full. Certificate valid for 3 months from date of issue.",tax_clearance,certificate,5138148.0
"VALUE ADDED TAX RETURN
Rwanda Revenue Authority
Taxpayer: Bugesera Dairy
TIN: 755070775
Tax Period: 2021
Output VAT: 10304054 RWF
Input VAT: 2619675 RWF
Net VAT Payable: 7684379 RWF
Filing Date: 2026-05-08
Signature of authorized person",vat_return,filing,8732249.0
"CORPORATE INCOME TAX RETURN
Rwanda Revenue Authority
Company: Jean Bizimana
TIN: 628951656
Financial Year: 2020
Taxable Income: 3906047 RWF
CIT at 30%: 1171814 RWF
Advance Tax Paid: 390605 RWF
Balance Due: 781209 RWF",cit_filing,filing,3906047.0
"CORPORATE INCOME TAX RETURN
Rwanda Revenue Authority
Company: Ubumwe Investments
TIN: 995171130
Financial Year: 2023-10
Taxable Income: 15183177 RWF
CIT at 30%: 4554953 RWF
Advance Tax Paid: 1518318 RWF
Balance Due: 3036635 RWF",cit_filing,filing,15183177.0
"Rwanda Revenue Authority
P.O. Box 3987, Kigali

Dear Kimironko Supermarket,
RE: Your TIN 206681214 – Notice of assessment
We write with reference to your account for the period 2022-09. Please respond within 15 working days.
Yours faithfully,
Commissioner General, RRA",correspondence,correspondence,5225749.0
"Rwanda Revenue Authority
P.O. Box 3987, Kigali

Dear Claudine Niyomugabo,
RE: Your TIN 122932394 – Notice of assessment
We write with reference to your account for the period 2020. Please respond within 15 working days.
Yours faithfully,
Commissioner General, RRA",correspondence,correspondence,722939.0
"WITHHOLDING TAX DECLARATION
Rwanda Revenue Authority
Withholder: Umucyo Pharmacy
TIN: 452788129
Period: 2021
Nature of Payment: Services
Gross Amount: 9823962 RWF
WHT Rate: 15%
Tax Withheld: 1473594 RWF",withholding_tax,declaration,9823962.0
"CORPORATE INCOME TAX RETURN
Rwanda Revenue Authority
Company: Chantal Habimana
TIN: 241522640
Financial Year: 2020-06
Taxable Income: 1408595 RWF
CIT at 30%: 422578 RWF
Advance Tax Paid: 140860 RWF
Balance Due: 281719 RWF",cit_filing,filing,1408595.0
"CORPORATE INCOME TAX RETURN
Rwanda Revenue Authority
Company: Ruliba Ceramics
TIN: 222030010
Financial Year: 2020-08
Taxable Income: 2297390 RWF
CIT at 30%: 689217 RWF
Advance Tax Paid: 229739 RWF
Balance Due: 459478 RWF",cit_filing,filing,2297390.0
"VALUE ADDED TAX RETURN
Rwanda Revenue Authority
Taxpayer: Ruliba Ceramics
TIN: 423873102
Tax Period: 2023-11
Output VAT: 429247 RWF
Input VAT: 109131 RWF
Net VAT Payable: 320117 RWF
Filing Date: 2026-05-08
Signature of authorized person",vat_return,filing,363769.0
"Rwanda Revenue Authority
P.O. Box 3987, Kigali

Dear Marie Mukamana,
RE: Your TIN 753154389 – Objection response
We write with reference to your account for the period 2021. Please respond within 15 working days.
Yours faithfully,
Commissioner General, RRA",correspondence,correspondence,4945054.0
